sido_short,sigungu,registration,total_chargers,fast_chargers,slow_chargers,apt_charger_count,apt_charger_ratio,log_reg,expected_total,gap_pct_total,expected_fast,gap_pct_fast,expected_slow,gap_pct_slow,n_reported,ok_rate,broken_rate,busy_rate,n_kw_reported,avg_kw,log_pop,apt_ratio,old_housing_ratio,parking_ratio,subsidy_receipt_rate,budget_exec_rate,is_deficit
경기,남양주시,8089.0,4420,271,4149,3800,0.8597285067873304,8.998260393017953,3106.90054496006,42.26396809418374,222.82195023879262,21.621770076770353,3062.706829424625,35.46840200762706,7925.0,94.46056782334384,3.558359621451104,14.37349719476356,44.0,135.22727272727272,13.484760916019402,79.1,8.939940072354114,93.9,111.0,108.0,0.0
경기,동두천시,815.0,452,42,410,374,0.827433628318584,6.703188113240863,265.48399747549416,70.25508290446862,59.4386324110677,-29.338885677020656,188.07893917899145,117.99357322502235,618.0,98.54368932038835,0.6472491909385114,9.523809523809524,7.0,85.71428571428571,11.401613943818962,59.2,22.51870122362463,87.9,260.0,255.0,0.0
경기,부천시,6291.0,2333,230,2103,1715,0.7351050150021432,8.74687531957003,2373.094069247954,-1.6895271775155485,192.79618640154163,19.29696551205271,2256.200609237276,-6.790203344952839,4885.0,95.0460593654043,1.4329580348004094,14.042644841697177,19.0,155.26315789473685,,,,,,,
경기,성남시 분당구,8237.0,3421,256,3165,2670,0.7804735457468577,9.016391478941248,3167.866281452993,7.990669304100262,225.1602380612562,13.696806418526553,3130.966208084145,1.0870060439483575,6274.0,94.37360535543513,1.4823079375199235,20.84107414288127,19.0,105.26315789473684,13.012369924022774,88.3,30.207332591445713,94.4,90.0,90.0,0.0
경기,성남시 수정구,2173.0,1101,86,1015,670,0.6085376930063578,7.6838639802564295,759.4763846431865,44.96829951036152,104.54169026594305,-17.736168430771436,619.6164866612742,63.81100597713279,2232.0,86.60394265232975,1.9265232974910396,15.002586652871186,9.0,88.88888888888889,12.417103128960582,57.0,26.30610450077599,70.9,90.0,90.0,0.0
경기,성남시 중원구,1862.0,743,88,655,462,0.6218034993270525,7.529406457837013,643.6041212226212,15.443636157668106,95.64603862414529,-7.994098589060739,513.5368436052487,27.546836834845067,1827.0,91.68035030103997,2.2988505747126435,16.955223880597014,10.0,140.0,12.235422688118861,55.8,27.58430861389983,71.0,90.0,90.0,0.0
경기,수원시 권선구,4671.0,1754,188,1566,1379,0.7862029646522235,8.449128460502108,1724.7354971570103,1.6967530900377614,162.42243408839502,15.747557321844429,1570.9835562323226,-0.31722523208801423,3327.0,95.31109107303878,1.2623985572587917,10.911384421318196,14.0,114.28571428571429,12.822878592833396,72.6,13.390155537648058,86.1,87.0,84.0,0.0
경기,수원시 영통구,4233.0,2390,296,2094,1715,0.7175732217573222,8.350666240520924,1551.9982203304148,53.995021946041774,153.4706259851063,92.87078429505175,1393.7503796138371,50.24211154512326,4606.0,90.7077724706904,2.8875379939209727,16.49114408808042,14.0,153.57142857142858,12.806967466385032,91.6,11.977789262358623,93.9,87.0,84.0,0.0
경기,수원시 장안구,2297.0,857,114,743,630,0.73512252042007,7.739359202689098,806.0197376459523,6.324939697251053,107.9359830452596,5.618160676034822,662.8627995652322,12.089560688475709,1743.0,95.754446356856,0.8605851979345954,9.946075494307967,14.0,178.57142857142858,12.545440685263411,68.3,22.86017320152188,85.4,87.0,84.0,0.0
경기,수원시 팔달구,1793.0,716,115,601,473,0.6606145251396648,7.491645473605133,618.0764308527827,15.843278316260756,93.58898756200038,22.877704947727274,490.49473400216505,22.52934809231757,1606.0,94.52054794520548,1.432129514321295,12.779973649538867,,,12.249213549300906,64.0,22.520357006362268,81.1,87.0,84.0,0.0
